Название,Компания,Зарплата,Навыки
Fullstack-разработчик (REACT+JAVA),Банк России,Зарплата не указана,"Java, React, Node.js, Angular, Junit"
Ведущий Android-разработчик в Учи.ру,VK,Зарплата не указана,"Kotlin, MVVM, Clean Architecture, Coroutines, Dagger 2"
Android Developer,Okko,Не указана,"Android SDK, Kotlin"
Solution Architect,АстраЗенека,Зарплата не указана,"Docker, PostgreSQL, Redis, Kubernetes, REST"
Менеджер AI проектов,АстраЗенека,Зарплата не указана,"Ведение переговоров, Управление проектами, Проектное планирование"
Разработчик больших языковых моделей LLM,IT-центр МГТУ им. Н.Э. Баумана,Не указана,"Python, PostgreSQL, LLM, NLP, Langgraph, Langfuse, Agentic systems"
Ведущий Java-разработчик,М Тех,Зарплата не указана,"Java, Spring Boot, PostgreSQL, SQL, ClickHouse, Micronaut"
IT Бизнес-аналитик,АстраЗенека,Зарплата не указана,"Бизнес аналитика, Системный анализ, UML, BPMN, Техническая документация"
Ведущий разработчик / техлид WebRTC,Яндекс,Не указана,"WebRTC, Realtime"
Архитектор BPMSoft,АстраЗенека,Зарплата не указана,"GitLab, Docker, Kubernetes, UML"
MLSecOps,ГНИВЦ,Зарплата не указана,"Linux, Docker, Kubernetes, Python, CI/CD"
ML-инженер,ГНИВЦ,Зарплата не указана,"Git, PostgreSQL, Python"
Системный инженер C/С++ в команду Storage Core SPDK [MWS Cloud Platform],МТС Web Services,Зарплата не указана,"C++, C, NVM Express protocol"
Технический руководитель (направление Персонализация),Okko,Не указана,"Python, Java, Golang, Kotlin"
Ведущий операционный менеджер в сервис BareMetal,Яндекс,Зарплата не указана,"Linux, Администрирование серверов, Управление проектами, Управление людьми"
